month,event_count,avg_severity,total_deaths
2021-09-01,31,1.3125,199
2021-10-01,38,1.34375,395
2021-11-01,42,1.30555555555556,361
2021-12-01,27,1.35,569
2022-01-01,135,1.13333333333333,8378
2022-02-01,26,1.3,621
2022-03-01,26,1.25,164
2022-04-01,30,1.18181818181818,1046
2022-05-01,35,1.30769230769231,2701
2022-06-01,27,1.25,2120
2022-07-01,48,1.22222222222222,1166
2022-08-01,53,1.34615384615385,1827
2022-09-01,43,1.26,834
2022-10-01,35,1.21052631578947,299
2022-11-01,31,1.1875,268
2022-12-01,33,1.21428571428571,499
2023-01-01,122,1.22727272727273,7885
2023-02-01,35,1.30952380952381,240
2023-03-01,52,1.18181818181818,951
2023-04-01,25,1.1,193
2023-05-01,35,1.27272727272727,3649
2023-06-01,42,1.25,2152
2023-07-01,37,1.21428571428571,357
2023-08-01,31,1.14285714285714,194
2023-09-01,45,1.26470588235294,5583
2023-10-01,35,1.33333333333333,801
2023-11-01,26,1.6,163
2023-12-01,27,1.08333333333333,189
2024-01-01,113,1.25,6371
2024-02-01,24,,115
2024-03-01,17,,410
2024-04-01,31,,382
2024-05-01,28,,944
2024-06-01,22,,802
2024-07-01,23,,1037
2024-08-01,18,,1167
2024-09-01,24,,347
2024-10-01,17,,296
2024-11-01,20,,101
2024-12-01,6,,44
2025-01-01,83,,5286
2025-02-01,10,,134
2025-03-01,20,,146
2025-04-01,9,,184
2025-05-01,16,,1375
2025-06-01,16,,1697
2025-07-01,21,,344
2025-08-01,23,,418
2025-09-01,16,,198
2025-10-01,16,,238
2025-11-01,11,,312
2025-12-01,19,,99
2026-01-01,44,,911
2026-02-01,12,,3
2026-03-01,5,,117
2026-04-01,1,,0
